cultivar,quantidade,ano,classificacao_uva
TINTAS,0,2022,Americanas e Híbridas
Bacarina,0,2022,Americanas e Híbridas
Bailey,0,2022,Americanas e Híbridas
Bordo,0,2022,Americanas e Híbridas
Bourdin (S),0,2022,Americanas e Híbridas
BRS Carmen,0,2022,Americanas e Híbridas
BRS Cora,0,2022,Americanas e Híbridas
BRS Magna,0,2022,Americanas e Híbridas
BRS Margot,0,2022,Americanas e Híbridas
BRS Morena,0,2022,Americanas e Híbridas
BRS Núbia,0,2022,Americanas e Híbridas
BRS Rúbea,0,2022,Americanas e Híbridas
BRS Violeta,0,2022,Americanas e Híbridas
BRS Vitória,0,2022,Americanas e Híbridas
Champagnon (Champanheta),0,2022,Americanas e Híbridas
Coleções,0,2022,Americanas e Híbridas
Concord,0,2022,Americanas e Híbridas
Concord clone 30,0,2022,Americanas e Híbridas
Couderc,0,2022,Americanas e Híbridas
Cynthiana(1),0,2022,Americanas e Híbridas
Herbemont,0,2022,Americanas e Híbridas
IAC 138022,0,2022,Americanas e Híbridas
Isabel,0,2022,Americanas e Híbridas
Isabel Precoce,0,2022,Americanas e Híbridas
Jacquez,0,2022,Americanas e Híbridas
Kyoko,0,2022,Americanas e Híbridas
Landot,0,2022,Americanas e Híbridas
Mistura de uvas americanas tinto,0,2022,Americanas e Híbridas
Oberlin,0,2022,Americanas e Híbridas
Othello,0,2022,Americanas e Híbridas
Paco,0,2022,Americanas e Híbridas
Patricia,0,2022,Americanas e Híbridas
Seibel,0,2022,Americanas e Híbridas
Seibel 2 (seibeleto),0,2022,Americanas e Híbridas
Seyve Willard (Tinta),0,2022,Americanas e Híbridas
Vênus,0,2022,Americanas e Híbridas
BRANCAS E ROSADAS,0,2022,Americanas e Híbridas
Baco,0,2022,Americanas e Híbridas
Bokay,0,2022,Americanas e Híbridas
BRS Bibiana,0,2022,Americanas e Híbridas
BRS Clara,0,2022,Americanas e Híbridas
BRS Lorena,0,2022,Americanas e Híbridas
Couderc 13,0,2022,Americanas e Híbridas
Delaware,0,2022,Americanas e Híbridas
Dona Zillá,0,2022,Americanas e Híbridas
Dut Chess,0,2022,Americanas e Híbridas
Goethe,0,2022,Americanas e Híbridas
IAC,0,2022,Americanas e Híbridas
Juliana,0,2022,Americanas e Híbridas
Martha,0,2022,Americanas e Híbridas
Mistura de uvas americanas,0,2022,Americanas e Híbridas
Moscato Embrapa,0,2022,Americanas e Híbridas
Niagara,0,2022,Americanas e Híbridas
Niagara Branca,0,2022,Americanas e Híbridas
Niagara Rosada,0,2022,Americanas e Híbridas
Poloske,0,2022,Americanas e Híbridas
Seleções,0,2022,Americanas e Híbridas
Seyve Villard,0,2022,Americanas e Híbridas
Seyve Villard 5276,0,2022,Americanas e Híbridas
Seyve Villard 12375,0,2022,Americanas e Híbridas
Tardia de Caxias,0,2022,Americanas e Híbridas
Outras(2),0,2022,Americanas e Híbridas
Total,0,2022,Americanas e Híbridas
TINTAS,0,2022,Viníferas
Alicante Bouschet,0,2022,Viníferas
Ancelota,0,2022,Viníferas
Aramon,0,2022,Viníferas
Alfrocheiro,0,2022,Viníferas
Arinarnoa,0,2022,Viníferas
Aspirant Bouschet,0,2022,Viníferas
Barbera,0,2022,Viníferas
Bonarda,0,2022,Viníferas
Cabernet Franc,0,2022,Viníferas
Cabernet Sauvignon,0,2022,Viníferas
Caladoc,0,2022,Viníferas
Campanario,0,2022,Viníferas
Canaiolo,0,2022,Viníferas
Carignan,0,2022,Viníferas
Carmenere,0,2022,Viníferas
Castelão,0,2022,Viníferas
Corvina,0,2022,Viníferas
Croatina,0,2022,Viníferas
Cinsaut,0,2022,Viníferas
Dom Felder,0,2022,Viníferas
Dolcetto,0,2022,Viníferas
Durif,0,2022,Viníferas
Egiodola,0,2022,Viníferas
Ekigaina,0,2022,Viníferas
Festival (Sugraone),0,2022,Viníferas
Franconia,0,2022,Viníferas
Freisa,0,2022,Viníferas
Gamay St Romain,0,2022,Viníferas
Gamay Beaujolais,0,2022,Viníferas
Grand Noir,0,2022,Viníferas
Grenache,0,2022,Viníferas
Jaen,0,2022,Viníferas
Lagrein,0,2022,Viníferas
Lambrusco,0,2022,Viníferas
Malbec,0,2022,Viníferas
Marzemina,0,2022,Viníferas
Merlot,0,2022,Viníferas
Marselan,0,2022,Viníferas
Mistura de uvas viníferas tinto,0,2022,Viníferas
Molinera,0,2022,Viníferas
Montepulciano,0,2022,Viníferas
Moscato Bailey,0,2022,Viníferas
Napa Gamay,0,2022,Viníferas
Nebbiolo,0,2022,Viníferas
Petit Verdot,0,2022,Viníferas
Petite Sirah,0,2022,Viníferas
Pinotage,0,2022,Viníferas
Pinot Noir,0,2022,Viníferas
Pinot Saint George,0,2022,Viníferas
Piriquita,0,2022,Viníferas
Primitivo,0,2022,Viníferas
Rebo,0,2022,Viníferas
Refosco,0,2022,Viníferas
Rondinella,0,2022,Viníferas
Ruby Cabernet,0,2022,Viníferas
Sangiovese,0,2022,Viníferas
Saperavi,0,2022,Viníferas
Sira (falsa),0,2022,Viníferas
Tannat,0,2022,Viníferas
Tempranillo,0,2022,Viníferas
Teroldego,0,2022,Viníferas
Torrontes,0,2022,Viníferas
Tinta Barroca,0,2022,Viníferas
Tinta Roriz,0,2022,Viníferas
Touriga Francesa,0,2022,Viníferas
Touriga Nacional,0,2022,Viníferas
Tinta Madeira,0,2022,Viníferas
Tintoria,0,2022,Viníferas
Trincdeira,0,2022,Viníferas
Trousseau,0,2022,Viníferas
Zinfandel,0,2022,Viníferas
Outras1,0,2022,Viníferas
BRANCAS E ROSADAS,0,2022,Viníferas
Aliatico,0,2022,Viníferas
Aligote,0,2022,Viníferas
Altesse,0,2022,Viníferas
Alvarinho,0,2022,Viníferas
Arriloba,0,2022,Viníferas
Auxerrois,0,2022,Viníferas
Burger,0,2022,Viníferas
Chardonnay,0,2022,Viníferas
Chasselas,0,2022,Viníferas
Chenin Blanc,0,2022,Viníferas
Clairette(1),0,2022,Viníferas
Colombard,0,2022,Viníferas
Flora,0,2022,Viníferas
Garganega,0,2022,Viníferas
Gewurztraminer,0,2022,Viníferas
Gouveio,0,2022,Viníferas
Gros Manseng,0,2022,Viníferas
Italia (Pirovano 65) (PE),0,2022,Viníferas
Maccabeo,0,2022,Viníferas
Malvasia,0,2022,Viníferas
Malvasia Amarela,0,2022,Viníferas
Malvasia Bianca,0,2022,Viníferas
Malvasia Chianti,0,2022,Viníferas
Malvasia Verde,0,2022,Viníferas
Malvasia di Candia,0,2022,Viníferas
Malvasia Istriana,0,2022,Viníferas
Mistura de uvas viníferas branco,0,2022,Viníferas
Mistura de uvas viníferas rosado,0,2022,Viníferas
Moscato Branco,0,2022,Viníferas
Moscato Canelli,0,2022,Viníferas
Moscato Giallo,0,2022,Viníferas
Moscato Nazareno,0,2022,Viníferas
Moscato Bianco R2,0,2022,Viníferas
Moscato de Alexandria,0,2022,Viníferas
Moscato Rosado,0,2022,Viníferas
Muscat à Petits Grains,0,2022,Viníferas
Muller Thurgau,0,2022,Viníferas
Muscadelle,0,2022,Viníferas
Ora,0,2022,Viníferas
Palomino,0,2022,Viníferas
Petit Manseng,0,2022,Viníferas
