produto,quantidade,ano
VINHO DE MESA,108031792,1975
Tinto,91528090,1975
Rosado,7261777,1975
Branco,9241925,1975
VINHO FINO DE MESA,8848303,1975
Tinto,2050960,1975
Rosado,2130619,1975
Branco,4666724,1975
VINHO FRIZANTE,301293,1975
VINHO ORGÂNICO,0,1975
VINHO ESPECIAL,10260445,1975
Tinto,4815235,1975
Rosado,2885972,1975
Branco,2559238,1975
ESPUMANTES,3691348,1975
Espumante Moscatel,0,1975
Espumante,0,1975
Espumante Orgânico,0,1975
SUCO DE UVAS,5802187,1975
Suco Natural Integral,0,1975
Suco Adoçado,0,1975
Suco Reprocessado/reconstituido,0,1975
Suco Orgânico,0,1975
Outros sucos de uvas,0,1975
SUCO DE UVAS CONCENTRADO,768401,1975
OUTROS PRODUTOS COMERCIALIZADOS,23102540,1975
Outros vinhos (sem informação detalhada),0,1975
"Agrin (fermentado, acetico misto)",0,1975
Aguardente de vinho 50°gl,0,1975
Alcool vinico,0,1975
Bagaceira (graspa),706946,1975
Base champenoise champanha,0,1975
Base charmat champanha,0,1975
Base espumante moscatel,0,1975
Bebida de uva,0,1975
Borra líquida,0,1975
Borra seca,0,1975
Brandy (conhaque),11418527,1975
Cooler,0,1975
Coquetel com vinho,0,1975
Destilado de vinho,1793135,1975
Filtrado doce,1353194,1975
Jeropiga,0,1975
Mistelas,272141,1975
Mosto concentrado,251197,1975
Mosto de uva,0,1975
Mosto sulfitado,34300,1975
Nectar de uva,0,1975
Outros produtos,0,1975
Polpa de uva,0,1975
Preparado líquido para refresco,0,1975
Refrigerante +50% suco,0,1975
Sangria,0,1975
Vinagre balsamico,0,1975
Vinagre duplo,0,1975
Vinagre simples,1574960,1975
Vinho acetificado,0,1975
Vinho base para espumantes,0,1975
Vinho composto,3493104,1975
Vinho licoroso,2205036,1975
Vinho leve,0,1975
Vinho gaseificado,0,1975
Total,160806309,1975
VINHO DE MESA,149609112,1979
Tinto,119496652,1979
Rosado,18643308,1979
Branco,11469152,1979
VINHO FINO DE MESA,21695829,1979
Tinto,6360276,1979
Rosado,4119615,1979
Branco,11215938,1979
VINHO FRIZANTE,14578,1979
VINHO ORGÂNICO,0,1979
VINHO ESPECIAL,13790557,1979
Tinto,7004780,1979
Rosado,5067851,1979
Branco,1717926,1979
ESPUMANTES,3246929,1979
Espumante Moscatel,0,1979
Espumante,0,1979
Espumante Orgânico,0,1979
SUCO DE UVAS,6096784,1979
Suco Natural Integral,0,1979
Suco Adoçado,0,1979
Suco Reprocessado/reconstituido,0,1979
Suco Orgânico,0,1979
Outros sucos de uvas,0,1979
SUCO DE UVAS CONCENTRADO,2751886,1979
OUTROS PRODUTOS COMERCIALIZADOS,29719709,1979
Outros vinhos (sem informação detalhada),0,1979
"Agrin (fermentado, acetico misto)",0,1979
Aguardente de vinho 50°gl,0,1979
Alcool vinico,0,1979
Bagaceira (graspa),812433,1979
Base champenoise champanha,0,1979
Base charmat champanha,0,1979
Base espumante moscatel,0,1979
Bebida de uva,0,1979
Borra líquida,0,1979
Borra seca,0,1979
Brandy (conhaque),9991254,1979
Cooler,0,1979
Coquetel com vinho,0,1979
Destilado de vinho,3062750,1979
Filtrado doce,3374608,1979
Jeropiga,47738,1979
Mistelas,6293317,1979
Mosto concentrado,0,1979
Mosto de uva,0,1979
Mosto sulfitado,485800,1979
Nectar de uva,0,1979
Outros produtos,0,1979
Polpa de uva,0,1979
Preparado líquido para refresco,0,1979
Refrigerante +50% suco,0,1979
Sangria,0,1979
Vinagre balsamico,0,1979
Vinagre duplo,0,1979
Vinagre simples,2144256,1979
Vinho acetificado,0,1979
Vinho base para espumantes,0,1979
Vinho composto,976174,1979
Vinho licoroso,2531379,1979
Vinho leve,0,1979
Vinho gaseificado,0,1979
Total,226925384,1979
VINHO DE MESA,98327606,1970
Tinto,83300735,1970
Rosado,107681,1970
Branco,14919190,1970
VINHO FINO DE MESA,4430629,1970
Tinto,435354,1970
Rosado,183234,1970
Branco,3812041,1970
VINHO FRIZANTE,466480,1970
VINHO ORGÂNICO,0,1970
VINHO ESPECIAL,7325789,1970
Tinto,4730346,1970
Rosado,1229564,1970
Branco,1365879,1970
ESPUMANTES,2743678,1970
Espumante Moscatel,0,1970
Espumante,0,1970
Espumante Orgânico,0,1970
SUCO DE UVAS,2626855,1970
Suco Natural Integral,0,1970
Suco Adoçado,0,1970
Suco Reprocessado/reconstituido,0,1970
Suco Orgânico,0,1970
Outros sucos de uvas,0,1970
SUCO DE UVAS CONCENTRADO,0,1970
OUTROS PRODUTOS COMERCIALIZADOS,19844550,1970
Outros vinhos (sem informação detalhada),0,1970
"Agrin (fermentado, acetico misto)",0,1970
Aguardente de vinho 50°gl,0,1970
Alcool vinico,0,1970
Bagaceira (graspa),1192987,1970
Base champenoise champanha,0,1970
Base charmat champanha,0,1970
Base espumante moscatel,0,1970
Bebida de uva,0,1970
Borra líquida,0,1970
Borra seca,0,1970
Brandy (conhaque),9388296,1970
Cooler,0,1970
Coquetel com vinho,0,1970
Destilado de vinho,533987,1970
Filtrado doce,346403,1970
Jeropiga,0,1970
Mistelas,178350,1970
Mosto concentrado,44971,1970
Mosto de uva,0,1970
Mosto sulfitado,401030,1970
Nectar de uva,0,1970
Outros produtos,0,1970
Polpa de uva,0,1970
Preparado líquido para refresco,0,1970
Refrigerante +50% suco,0,1970
Sangria,0,1970
Vinagre balsamico,0,1970
Vinagre duplo,0,1970
Vinagre simples,1359297,1970
Vinho acetificado,0,1970
Vinho base para espumantes,0,1970
Vinho composto,3386173,1970
Vinho licoroso,3013056,1970
Vinho leve,0,1970
Vinho gaseificado,0,1970
Total,135765587,1970
VINHO DE MESA,118377367,1972
Tinto,101167932,1972
Rosado,7770851,1972
Branco,9438584,1972
VINHO FINO DE MESA,5602091,1972
Tinto,624499,1972
Rosado,403664,1972
Branco,4573928,1972
VINHO FRIZANTE,356340,1972
VINHO ORGÂNICO,0,1972
VINHO ESPECIAL,8737605,1972
Tinto,4347706,1972
Rosado,1901801,1972
Branco,2488098,1972
ESPUMANTES,3523335,1972
Espumante Moscatel,0,1972
Espumante,0,1972
Espumante Orgânico,0,1972
SUCO DE UVAS,4069351,1972
Suco Natural Integral,0,1972
Suco Adoçado,0,1972
Suco Reprocessado/reconstituido,0,1972
Suco Orgânico,0,1972
Outros sucos de uvas,0,1972
SUCO DE UVAS CONCENTRADO,59044,1972
OUTROS PRODUTOS COMERCIALIZADOS,23615205,1972
Outros vinhos (sem informação detalhada),0,1972
"Agrin (fermentado, acetico misto)",0,1972
Aguardente de vinho 50°gl,0,1972
Alcool vinico,0,1972
Bagaceira (graspa),1059696,1972
Base champenoise champanha,0,1972
Base charmat champanha,0,1972
Base espumante moscatel,0,1972
Bebida de uva,0,1972
Borra líquida,0,1972
Borra seca,0,1972
Brandy (conhaque),11876098,1972
Cooler,0,1972
Coquetel com vinho,0,1972
Destilado de vinho,1573023,1972
Filtrado doce,670626,1972
Jeropiga,0,1972
Mistelas,133865,1972
Mosto concentrado,0,1972
Mosto de uva,0,1972
Mosto sulfitado,447600,1972
Nectar de uva,0,1972
Outros produtos,0,1972
Polpa de uva,0,1972
Preparado líquido para refresco,0,1972
Refrigerante +50% suco,0,1972
Sangria,0,1972
Vinagre balsamico,0,1972
Vinagre duplo,0,1972
Vinagre simples,1524908,1972
Vinho acetificado,0,1972
Vinho base para espumantes,0,1972
Vinho composto,3921573,1972
Vinho licoroso,2407816,1972
Vinho leve,0,1972
Vinho gaseificado,0,1972
Total,164340338,1972
VINHO DE MESA,140813114,1977
Tinto,116609545,1977
Rosado,15195525,1977
Branco,9008044,1977
VINHO FINO DE MESA,14975330,1977
Tinto,4504303,1977
Rosado,3248565,1977
Branco,7222462,1977
VINHO FRIZANTE,143575,1977
VINHO ORGÂNICO,0,1977
VINHO ESPECIAL,11569676,1977
Tinto,3959050,1977
Rosado,4034615,1977
Branco,3576011,1977
ESPUMANTES,4150746,1977
Espumante Moscatel,0,1977
Espumante,0,1977
Espumante Orgânico,0,1977
SUCO DE UVAS,6814893,1977
Suco Natural Integral,0,1977
Suco Adoçado,0,1977
Suco Reprocessado/reconstituido,0,1977
Suco Orgânico,0,1977
Outros sucos de uvas,0,1977
SUCO DE UVAS CONCENTRADO,2444089,1977
OUTROS PRODUTOS COMERCIALIZADOS,27333925,1977
