paises,quantidade,valor,ano,derivado_uva
Africa do Sul,0,0,1978,Vinhos de Mesa
Alemanha,437831,668631,1978,Vinhos de Mesa
Argélia,0,0,1978,Vinhos de Mesa
Arábia Saudita,0,0,1978,Vinhos de Mesa
Argentina,614134,709813,1978,Vinhos de Mesa
Armênia,0,0,1978,Vinhos de Mesa
Austrália,0,0,1978,Vinhos de Mesa
Áustria,600,386,1978,Vinhos de Mesa
Bermudas,0,0,1978,Vinhos de Mesa
Bélgica,0,0,1978,Vinhos de Mesa
Bolívia,0,0,1978,Vinhos de Mesa
Bósnia-Herzegovina,0,0,1978,Vinhos de Mesa
Brasil,0,0,1978,Vinhos de Mesa
Bulgária,0,0,1978,Vinhos de Mesa
Canada,0,0,1978,Vinhos de Mesa
Chile,3742918,3415769,1978,Vinhos de Mesa
China,0,0,1978,Vinhos de Mesa
"Coreia do Sul, República",0,0,1978,Vinhos de Mesa
Croácia,0,0,1978,Vinhos de Mesa
Cuba,0,0,1978,Vinhos de Mesa
Emirados Árabes Unidos,0,0,1978,Vinhos de Mesa
Eslovênia,0,0,1978,Vinhos de Mesa
Eslováquia,0,0,1978,Vinhos de Mesa
Espanha,87767,75364,1978,Vinhos de Mesa
Estados Unidos,58050,67752,1978,Vinhos de Mesa
França,355292,633098,1978,Vinhos de Mesa
Geórgia,0,0,1978,Vinhos de Mesa
"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,1978,Vinhos de Mesa
Grécia,0,0,1978,Vinhos de Mesa
Hong Kong,0,0,1978,Vinhos de Mesa
Hungria,0,0,1978,Vinhos de Mesa
Indonésia,0,0,1978,Vinhos de Mesa
Irlanda,0,0,1978,Vinhos de Mesa
Israel,0,0,1978,Vinhos de Mesa
Itália,250535,268114,1978,Vinhos de Mesa
Japão,0,0,1978,Vinhos de Mesa
Iugoslávia,1764,1630,1978,Vinhos de Mesa
Líbano,0,0,1978,Vinhos de Mesa
Luxemburgo,0,0,1978,Vinhos de Mesa
Macedônia,0,0,1978,Vinhos de Mesa
Marrocos,0,0,1978,Vinhos de Mesa
México,0,0,1978,Vinhos de Mesa
Moldávia,0,0,1978,Vinhos de Mesa
Montenegro,0,0,1978,Vinhos de Mesa
Noruega,0,0,1978,Vinhos de Mesa
Nova Zelândia,0,0,1978,Vinhos de Mesa
Países Baixos (Holanda),0,0,1978,Vinhos de Mesa
Panamá,0,0,1978,Vinhos de Mesa
Peru,0,0,1978,Vinhos de Mesa
Porto Rico,0,0,1978,Vinhos de Mesa
Portugal,2763298,2706030,1978,Vinhos de Mesa
Reino Unido,0,0,1978,Vinhos de Mesa
Republica Dominicana,0,0,1978,Vinhos de Mesa
Romênia,0,0,1978,Vinhos de Mesa
Rússia,0,0,1978,Vinhos de Mesa
San Marino,0,0,1978,Vinhos de Mesa
Sérvia,0,0,1978,Vinhos de Mesa
Síria,0,0,1978,Vinhos de Mesa
Suazilândia,0,0,1978,Vinhos de Mesa
Suíça,0,0,1978,Vinhos de Mesa
"Tcheca, República",0,0,1978,Vinhos de Mesa
Tunísia,0,0,1978,Vinhos de Mesa
Turquia,0,0,1978,Vinhos de Mesa
Ucrânia,0,0,1978,Vinhos de Mesa
Uruguai,32371,33900,1978,Vinhos de Mesa
Não consta na tabela,0,0,1978,Vinhos de Mesa
Não declarados,0,0,1978,Vinhos de Mesa
Outros,1347,1210,1978,Vinhos de Mesa
Total,8345907,8581697,1978,Vinhos de Mesa
Africa do Sul,0,0,1975,Vinhos de Mesa
Alemanha,134354,149931,1975,Vinhos de Mesa
Argélia,0,0,1975,Vinhos de Mesa
Arábia Saudita,0,0,1975,Vinhos de Mesa
Argentina,145823,90855,1975,Vinhos de Mesa
Armênia,0,0,1975,Vinhos de Mesa
Austrália,0,0,1975,Vinhos de Mesa
Áustria,8835,5560,1975,Vinhos de Mesa
Bermudas,0,0,1975,Vinhos de Mesa
Bélgica,0,0,1975,Vinhos de Mesa
Bolívia,0,0,1975,Vinhos de Mesa
Bósnia-Herzegovina,0,0,1975,Vinhos de Mesa
Brasil,0,0,1975,Vinhos de Mesa
Bulgária,0,0,1975,Vinhos de Mesa
Canada,0,0,1975,Vinhos de Mesa
Chile,952233,764780,1975,Vinhos de Mesa
China,0,0,1975,Vinhos de Mesa
