produto,quantidade,ano
VINHO DE MESA,169762429,2023
Tinto,139320884,2023
Branco,27910299,2023
Rosado,2531246,2023
VINHO FINO DE MESA (VINIFERA),46268556,2023
Tinto,23615783,2023
Branco,20693437,2023
Rosado,1959336,2023
SUCO,67045238,2023
Suco de uva integral,38122173,2023
Suco de uva concentrado,28216760,2023
Suco de uva adoçado,94587,2023
Suco de uva orgânico,611718,2023
Suco de uva reconstituído,0,2023
DERIVADOS,174716647,2023
Espumante,65525,2023
Espumante moscatel,14744,2023
Base espumante,0,2023
Base espumante moscatel,6734590,2023
Base Champenoise champanha,1552243,2023
Base Charmat champanha,5418118,2023
Bebida de uva,1627,2023
Polpa de uva,1388251,2023
Mosto simples,157848983,2023
Mosto concentrado,0,2023
Mosto de uva com bagaço,7784,2023
Mosto dessulfitado,0,2023
Mistelas,600,2023
Néctar de uva,70976,2023
Licorosos,0,2023
Compostos,0,2023
Jeropiga,4500,2023
Filtrado,0,2023
Frisante,0,2023
Vinho leve,0,2023
Vinho licoroso,73600,2023
Brandy,450,2023
Destilado,0,2023
Bagaceira,0,2023
Licor de bagaceira,0,2023
Vinagre,9000,2023
Borra líquida,758140,2023
Borra seca,17200,2023
Vinho Composto,0,2023
Pisco,0,2023
Vinho orgânico,94150,2023
Espumante orgânico,1365,2023
Destilado alcoólico simples de bagaceira,0,2023
Vinho acidificado,2500,2023
Mosto parcialmente fermentado,0,2023
Outros derivados,652301,2023
Total,457792870,2023
VINHO DE MESA,195031611,2022
Tinto,162844214,2022
Branco,30198430,2022
Rosado,1988968,2022
VINHO FINO DE MESA (VINIFERA),47511796,2022
Tinto,24417918,2022
Branco,20896613,2022
Rosado,2197265,2022
SUCO,65809079,2022
Suco de uva integral,35248305,2022
Suco de uva concentrado,29892550,2022
Suco de uva adoçado,79130,2022
Suco de uva orgânico,589094,2022
Suco de uva reconstituído,0,2022
DERIVADOS,138501226,2022
Espumante,70759,2022
Espumante moscatel,27200,2022
Base espumante,0,2022
Base espumante moscatel,6308043,2022
Base Champenoise champanha,1146717,2022
Base Charmat champanha,4078766,2022
Bebida de uva,0,2022
Polpa de uva,387886,2022
Mosto simples,126048241,2022
Mosto concentrado,0,2022
Mosto de uva com bagaço,0,2022
Mosto dessulfitado,0,2022
Mistelas,0,2022
Néctar de uva,0,2022
Licorosos,0,2022
Compostos,0,2022
Jeropiga,5000,2022
Filtrado,0,2022
Frisante,0,2022
Vinho leve,0,2022
Vinho licoroso,67000,2022
Brandy,0,2022
Destilado,0,2022
Bagaceira,4998,2022
Licor de bagaceira,0,2022
Vinagre,16200,2022
Borra líquida,0,2022
Borra seca,0,2022
Vinho Composto,0,2022
Pisco,0,2022
Vinho orgânico,88890,2022
Espumante orgânico,0,2022
Destilado alcoólico simples de bagaceira,4300,2022
Vinho acidificado,0,2022
Mosto parcialmente fermentado,0,2022
Outros derivados,247228,2022
Total,446853712,2022
