paises,quantidade,valor,ano,derivado_uva
Afeganistão,0,0,2022,Vinhos de Mesa
África do Sul,0,0,2022,Vinhos de Mesa
"Alemanha, República Democrática",7630,45367,2022,Vinhos de Mesa
Angola,4068,4761,2022,Vinhos de Mesa
Anguilla,0,0,2022,Vinhos de Mesa
Antígua e Barbuda,419,1866,2022,Vinhos de Mesa
Antilhas Holandesas,0,0,2022,Vinhos de Mesa
Arábia Saudita,0,0,2022,Vinhos de Mesa
Argentina,480,3232,2022,Vinhos de Mesa
Aruba,0,0,2022,Vinhos de Mesa
Austrália,1424,12299,2022,Vinhos de Mesa
Áustria,6,212,2022,Vinhos de Mesa
Bahamas,1215,5799,2022,Vinhos de Mesa
Bangladesh,7,84,2022,Vinhos de Mesa
Barbados,220,1145,2022,Vinhos de Mesa
Barein,979,2789,2022,Vinhos de Mesa
Bélgica,828,6145,2022,Vinhos de Mesa
Belice,0,0,2022,Vinhos de Mesa
Benin,0,0,2022,Vinhos de Mesa
Bermudas,0,0,2022,Vinhos de Mesa
Bolívia,32530,49011,2022,Vinhos de Mesa
Bósnia-Herzegovina,0,0,2022,Vinhos de Mesa
Brasil,2504,952,2022,Vinhos de Mesa
Bulgária,5,31,2022,Vinhos de Mesa
Cabo Verde,0,0,2022,Vinhos de Mesa
Camarões,0,0,2022,Vinhos de Mesa
Canadá,1183,5784,2022,Vinhos de Mesa
Catar,0,0,2022,Vinhos de Mesa
"Cayman, Ilhas",160,958,2022,Vinhos de Mesa
Chile,2094,7986,2022,Vinhos de Mesa
China,105395,404647,2022,Vinhos de Mesa
Chipre,1521,4458,2022,Vinhos de Mesa
Cingapura,0,0,2022,Vinhos de Mesa
"Cocos (Keeling), Ilhas",26,60,2022,Vinhos de Mesa
Colômbia,8217,14068,2022,Vinhos de Mesa
Comores,0,0,2022,Vinhos de Mesa
Congo,0,0,2022,Vinhos de Mesa
"Coreia, Republica Sul",77,257,2022,Vinhos de Mesa
Costa do Marfim,0,0,2022,Vinhos de Mesa
Costa Rica,0,0,2022,Vinhos de Mesa
Croácia,34,484,2022,Vinhos de Mesa
Cuba,16,6,2022,Vinhos de Mesa
Curaçao,40673,66950,2022,Vinhos de Mesa
Dinamarca,2,6,2022,Vinhos de Mesa
Dominica,1485,2223,2022,Vinhos de Mesa
El Salvador,0,0,2022,Vinhos de Mesa
Emirados Arabes Unidos,4781,85465,2022,Vinhos de Mesa
Equador,135,210,2022,Vinhos de Mesa
"Eslovaca, Republica",0,0,2022,Vinhos de Mesa
Espanha,0,0,2022,Vinhos de Mesa
Estados Unidos,220373,447893,2022,Vinhos de Mesa
Estônia,0,0,2022,Vinhos de Mesa
Filipinas,375,790,2022,Vinhos de Mesa
Finlândia,0,0,2022,Vinhos de Mesa
França,5694,25008,2022,Vinhos de Mesa
Gana,35949,49304,2022,Vinhos de Mesa
Gibraltar,0,0,2022,Vinhos de Mesa
Granada,5610,7914,2022,Vinhos de Mesa
Grécia,920,2426,2022,Vinhos de Mesa
Guatemala,1283,5350,2022,Vinhos de Mesa
Guiana,2064,5823,2022,Vinhos de Mesa
Guiana Francesa,22,18,2022,Vinhos de Mesa
Guine Bissau,0,0,2022,Vinhos de Mesa
Guine Equatorial,0,0,2022,Vinhos de Mesa
Haiti,553503,741014,2022,Vinhos de Mesa
Honduras,0,0,2022,Vinhos de Mesa
Hong Kong,9371,38218,2022,Vinhos de Mesa
Hungria,0,0,2022,Vinhos de Mesa
Ilha de Man,165,641,2022,Vinhos de Mesa
Ilhas Virgens,0,0,2022,Vinhos de Mesa
India,247,1021,2022,Vinhos de Mesa
Indonésia,0,0,2022,Vinhos de Mesa
Irã,47,90,2022,Vinhos de Mesa
Iraque,0,0,2022,Vinhos de Mesa
Irlanda,0,0,2022,Vinhos de Mesa
Itália,1129,6151,2022,Vinhos de Mesa
Jamaica,0,0,2022,Vinhos de Mesa
Japão,37324,82208,2022,Vinhos de Mesa
Jordânia,0,0,2022,Vinhos de Mesa
Letônia,0,0,2022,Vinhos de Mesa
Líbano,0,0,2022,Vinhos de Mesa
Libéria,9145,34815,2022,Vinhos de Mesa
Luxemburgo,36,802,2022,Vinhos de Mesa
Macau,0,0,2022,Vinhos de Mesa
Malásia,0,0,2022,Vinhos de Mesa
Malavi,0,0,2022,Vinhos de Mesa
Malta,3127,15587,2022,Vinhos de Mesa
"Marshall, Ilhas",7240,27178,2022,Vinhos de Mesa
Martinica,0,0,2022,Vinhos de Mesa
Mauritânia,0,0,2022,Vinhos de Mesa
México,6,33,2022,Vinhos de Mesa
Moçambique,383,1927,2022,Vinhos de Mesa
Montenegro,0,0,2022,Vinhos de Mesa
Namíbia,0,0,2022,Vinhos de Mesa
Nicarágua,0,0,2022,Vinhos de Mesa
Nigéria,32234,50283,2022,Vinhos de Mesa
Noruega,2711,40316,2022,Vinhos de Mesa
Nova Caledônia,0,0,2022,Vinhos de Mesa
Nova Zelândia,63,156,2022,Vinhos de Mesa
Omã,194,670,2022,Vinhos de Mesa
Países Baixos,7034,37240,2022,Vinhos de Mesa
Palau,0,0,2022,Vinhos de Mesa
Panamá,11490,49392,2022,Vinhos de Mesa
Paraguai,5076670,7156293,2022,Vinhos de Mesa
Peru,0,0,2022,Vinhos de Mesa
Pitcairn,0,0,2022,Vinhos de Mesa
Polônia,0,0,2022,Vinhos de Mesa
Porto Rico,0,0,2022,Vinhos de Mesa
Portugal,1918,7613,2022,Vinhos de Mesa
Quênia,1440,2080,2022,Vinhos de Mesa
Reino Unido,18835,138154,2022,Vinhos de Mesa
República Dominicana,0,0,2022,Vinhos de Mesa
Rússia,66046,118618,2022,Vinhos de Mesa
São Cristóvão e Névis,0,0,2022,Vinhos de Mesa
São Tomé e Príncipe,0,0,2022,Vinhos de Mesa
São Vicente e Granadinas,20,51,2022,Vinhos de Mesa
Senegal,0,0,2022,Vinhos de Mesa
Serra Leoa,8101,15182,2022,Vinhos de Mesa
Singapura,4322,15434,2022,Vinhos de Mesa
Suazilândia,0,0,2022,Vinhos de Mesa
Suécia,5,18,2022,Vinhos de Mesa
Suíça,1584,20863,2022,Vinhos de Mesa
Suriname,1225,3360,2022,Vinhos de Mesa
Tailândia,432,1713,2022,Vinhos de Mesa
Taiwan (Formosa),25,277,2022,Vinhos de Mesa
Tanzânia,0,0,2022,Vinhos de Mesa
"Tcheca, República",1305,9997,2022,Vinhos de Mesa
Togo,17317,25608,2022,Vinhos de Mesa
Toquelau,0,0,2022,Vinhos de Mesa
Trinidade Tobago,0,0,2022,Vinhos de Mesa
Tunísia,0,0,2022,Vinhos de Mesa
Turquia,418,503,2022,Vinhos de Mesa
Tuvalu,0,0,2022,Vinhos de Mesa
Uruguai,637117,997367,2022,Vinhos de Mesa
Vanuatu,0,0,2022,Vinhos de Mesa
Venezuela,23220,32351,2022,Vinhos de Mesa
Vietnã,130,277,2022,Vinhos de Mesa
Total,7025983,10945282,2022,Vinhos de Mesa
África do Sul,0,0,2022,Espumantes
Alemanha,1164,6560,2022,Espumantes
Angola,26383,141588,2022,Espumantes
Antigua e Barbuda,65,146,2022,Espumantes
Antilhas Holandesas,0,0,2022,Espumantes
Argentina,0,0,2022,Espumantes
Aruba,0,0,2022,Espumantes
Australia,0,0,2022,Espumantes
Bahamas,56,194,2022,Espumantes
Bangladesh,0,0,2022,Espumantes
Barbados,25,101,2022,Espumantes
Belgica,0,0,2022,Espumantes
Benin,0,0,2022,Espumantes
Bermudas,12,58,2022,Espumantes
Bolívia,22307,70416,2022,Espumantes
Bósnia-Herzegovina,0,0,2022,Espumantes
Bulgaria,0,0,2022,Espumantes
Cabo Verde,0,0,2022,Espumantes
Camarões,0,0,2022,Espumantes
Canada,62,347,2022,Espumantes
Catar,0,0,2022,Espumantes
"Cayman, Ilhas",0,0,2022,Espumantes
Chile,4,19,2022,Espumantes
China,8619,35079,2022,Espumantes
Chipre,382,931,2022,Espumantes
Cingapura,0,0,2022,Espumantes
Colombia,15396,56227,2022,Espumantes
"Coreia do Sul, Republica da",10,30,2022,Espumantes
